like_count,text,video_id,public,tokens,word_count,sentiment
0,Camilla  eu  tô  com  falta  de  ar  ainda   amiga,c3Ns-AgD-Vg,True,"['camisa', 't', 'falta', 'ar', 'ainda', 'amiga']",6,0.0
0,Você  ta  se  achando  egoísta  ne camila,c3Ns-AgD-Vg,True,"['ta', 'achando', 'egoísta', 'ne', 'camisa']",5,0.0
0,Grill,c3Ns-AgD-Vg,True,['grilo'],1,0.0
0,Quando  você  acorda,c3Ns-AgD-Vg,True,['acorda'],1,0.0
0,Sua  voz  parece  o homem  camila,c3Ns-AgD-Vg,True,"['voz', 'parece', 'homem', 'camisa']",4,0.0
0,Eu  gosto  de  pessoas  negras  eu  não  gosto  de  pessoas  pardas,c3Ns-AgD-Vg,True,"['gosto', 'pessoas', 'negras', 'gosto', 'pessoas', 'pardas']",6,0.0
0,Eu  gosto  de  você  camila  porque  você  é  negra,c3Ns-AgD-Vg,True,"['gosto', 'camisa', 'porque', 'negra']",4,0.0
0,Amigaaa eu amo teus vídeos Camilla❤❤,c3Ns-AgD-Vg,True,"['amigada', 'amo', 'vamos', 'camisa']",4,0.0
0,😂😂😂😂disse então... vamos testar kkkkkkkkkkkk adorei,c3Ns-AgD-Vg,True,"['disse', 'ento', 'vamos', 'testar', 'kkkkkkkkkkkk', 'adorei']",6,0.0
0,Adorei o vídeo! Super sincera!,c3Ns-AgD-Vg,True,"['adorei', 'super', 'sincera']",3,0.41666666666666663
1,Nem gasto dinheiro co. Essa marca… 😊,c3Ns-AgD-Vg,True,"['gasto', 'dinheiro', 'co', 'marca']",4,0.0
0,Camila realmente é linda!!!,c3Ns-AgD-Vg,True,"['camisa', 'realmente', 'linda']",3,0.0
0,Essa base revlon é que ton? Cappuccino?,c3Ns-AgD-Vg,True,"['base', 'revolu', 'tom', 'cappuccino']",4,-0.8
0,saudades destes vídeos loucos.,c3Ns-AgD-Vg,True,"['saudades', 'destes', 'vamos', 'loucos']",4,0.0
0,Jesus Ama vocês JESUS TE Ama Jesus abençõe família 🏠🍋,c3Ns-AgD-Vg,True,"['jesus', 'ama', 'jesus', 'ama', 'jesus', 'aben', 'familia']",7,0.0
0,Kkkkkk vc é  muito  legal  e lindaa,c3Ns-AgD-Vg,True,"['kkkkkk', 'vá', 'legal', 'lindas']",4,0.2
0,Ficou linda a base em voce cami ❤️,c3Ns-AgD-Vg,True,"['ficou', 'linda', 'base', 'voce', 'cami']",5,-0.8
0,Só acho que a Camila deveria lançar sua linha de maquiagem para mulheres negras,c3Ns-AgD-Vg,True,"['s', 'acho', 'camisa', 'deveria', 'lançar', 'linha', 'maquinem', 'mulheres', 'negras']",9,0.0
0,Peço  para gravar video usando a skin care da Hailey Bieber 😘,c3Ns-AgD-Vg,True,"['gravar', 'vidro', 'usando', 'sin', 'cara', 'baile', 'beber']",7,0.0
0,"A base ficou linda em vc Camila, eu so nao me empolguei pra comprar essa base pq um.monte de bloqlgueira reclamou do pump que vem.quebrado.",c3Ns-AgD-Vg,True,"['base', 'ficou', 'linda', 'vá', 'camisa', 'so', 'empreguei', 'pra', 'comprar', 'base', 'pa', 'monte', 'bloqlgueira', 'reclamou', 'puma', 'requebrado']",16,-0.8
0,Amo seus vídeos 😍,c3Ns-AgD-Vg,True,"['amo', 'vamos']",2,0.0
1,Compra a base da negra rosa e muito boa   tem para  todos os tipos de pele negra,c3Ns-AgD-Vg,True,"['compra', 'base', 'negra', 'rosa', 'boa', 'todos', 'tipos', 'pele', 'negra']",9,-0.8
2,Lança sua marca Camilla de Lucas,c3Ns-AgD-Vg,True,"['lama', 'marca', 'camisa', 'luvas']",4,0.0
0,Mais a base é resistente à água não aprova d’água entendam !!,c3Ns-AgD-Vg,True,"['base', 'resistente', 'rua', 'aprova', 'égua', 'entendam']",6,-1.0
0,Eu tendo ranço do brinco dela kkk,c3Ns-AgD-Vg,True,"['tendo', 'ramo', 'brinco', 'k']",4,0.0
0,Gostei,c3Ns-AgD-Vg,True,['gostei'],1,0.0
0,mano a camilla e muitooo lindaaaa demais,c3Ns-AgD-Vg,True,"['mano', 'camisa', 'lindaaaa', 'demais']",4,0.0
0,Olá Camila qual nome da base da Maybelline que vc falou no vídeo?,c3Ns-AgD-Vg,True,"['ol', 'camisa', 'nome', 'base', 'maybelline', 'vá', 'falou']",7,-0.8
0,"E eu que fui procurar nao achei nem essa fernanda so acho aquele ultimo tom do 2 braço, esses do último pra pele negra nem vejo",c3Ns-AgD-Vg,True,"['procurar', 'achei', 'bernarda', 'so', 'acho', 'ultimo', 'tom', 'braço', 'ultimo', 'pra', 'pele', 'negra', 'vejo']",13,0.0
0,Verdadisima,c3Ns-AgD-Vg,True,['verdadisima'],1,0.0
0,VC ta  linda aproveita  seu momento  de aprendizado. O mundo é assim se vc não quiser fazer não  adoeça.  Siga sua vida.  VC pode  tem talento.,c3Ns-AgD-Vg,True,"['vá', 'ta', 'linda', 'aproveita', 'momento', 'aprendido', 'mundo', 'assim', 'vá', 'quiser', 'fazer', 'adora', 'siga', 'vida', 'vá', 'pode', 'talento']",17,0.0
1,Só eu q achei q ficou ótima a cor,c3Ns-AgD-Vg,True,"['s', 'q', 'achei', 'q', 'ficou', 'toma', 'cor']",7,0.0
0,Amei o vídeo!,c3Ns-AgD-Vg,True,['amei'],1,0.0
0,Quero ver a boca rosa refutar esse vídeo,c3Ns-AgD-Vg,True,"['quero', 'ver', 'boca', 'rosa', 'refutar']",5,0.0
0,https://youtube.com/playlist?list=PLsk4lY2kP3jwcJHNzShVkLeZPO-nSx7GZ,c3Ns-AgD-Vg,True,['httpsyoutubecomplaylistlistplsklykpjwcjhnzshvklezponsxgz'],1,0.0
0,Gente poder ver que esses nome e da música do funk poder ver,c3Ns-AgD-Vg,True,"['gente', 'poder', 'ver', 'nome', 'música', 'uns', 'poder', 'ver']",8,0.0
